"Id";"Nhan_vien_Id";"Tu_ngay";"Den_ngay";"Chuc_danh";"Phong_ban";"Noi_lam_viec";"Loai_hop_dong";"He_so_luong";"Ghi_chu"
1;134;"2026-03-01";"";"Tổng Giám đốc";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
2;135;"2026-03-01";"";"Phó chánh VP";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
3;136;"2026-04-18";"";"Hành chính";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
4;137;"2026-04-18";"";"Kế toán";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
5;138;"2026-04-18";"";"Kế toán";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
6;139;"2026-04-18";"";"Kinh doanh";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
7;140;"2026-04-18";"";"Kinh doanh";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
8;141;"2026-04-18";"";"Tổ trưởng nhân công";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
9;143;"2026-04-18";"";"Điều độ";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
10;144;"2026-04-18";"";"Điều độ";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
11;145;"2026-04-18";"";"Vận hành băng tải";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
12;147;"2026-04-20";"";"Lái cẩu Liebherr";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
13;148;"2026-04-20";"2026-05-19";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
14;150;"2026-04-22";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
15;151;"2026-04-23";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
16;152;"2026-04-25";"";"Lái cẩu Liebherr";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
17;153;"2026-04-25";"";"Lái xúc lật";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
18;154;"2026-04-25";"";"Lái cẩu Liebherr";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
19;155;"2026-05-02";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
20;156;"2026-05-02";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
21;157;"2026-05-02";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
22;158;"2026-05-02";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
23;159;"2026-05-02";"";"Lái cẩu Liebherr";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
24;160;"2026-05-02";"";"Hành chính";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
25;161;"2026-05-02";"";"Lái xúc lật";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
26;162;"2026-05-02";"";"Điều độ";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
27;167;"2026-05-02";"";"Quản lý cơ giới";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
28;168;"2026-05-02";"";"Lái máy đào";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
29;169;"2026-05-02";"";"Lái máy đào";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
30;170;"2026-05-02";"";"Lái xúc lật";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
31;171;"2026-05-02";"";"Lái máy đào";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
32;172;"2026-05-02";"";"Sửa chữa";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
33;173;"2026-05-02";"";"Lái máy ủi";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
34;174;"2026-05-03";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
35;175;"2026-05-08";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
36;176;"2026-05-11";"";"Lái cẩu Liebherr";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
37;177;"2026-05-10";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
38;178;"2026-05-10";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
39;180;"2026-05-10";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
40;182;"2026-04-18";"";"Tạp vụ";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
64;181;"2026-04-20";"";"Lái cẩu Liebherr";"";"Cảng THQT Hòn La";"Thử việc";0.0;""
65;148;"2026-05-20";"";"Lao động phổ thông";"";"Cảng THQT Hòn La";"Không xác định thời hạn";0.0;""
